occurrence_no,record_type,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,abund_value,abund_unit,lng,lat,occurrence_comments,collection_name,collection_subset,collection_aka,cc,state,county,geogscale,paleolng,paleolat,geoplate,formation,stratgroup,member,environment,pres_mode,taxon_environment
289331,occ,27573,Rothianiscus robusta,species,120889,Roadian,Wordian,272.3,265.1,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Rothianiscus,33,specimens,-98.209724,35.941666,,"KF-1, Omega Quarry (Chickasha Formation)",,Chickasha Tongue; Flowerpot Shale; Flowerpot Formation,US,Oklahoma,Kingfisher,small collection,-24.87,7.9,101,Chickasha,El Reno,,"""channel""",body,terrestrial
289332,occ,27573,Cotylorhynchus bransoni,species,120922,Roadian,Wordian,272.3,265.1,Chordata,Osteichthyes,Cotylosauria,Caseidae,Cotylorhynchus,22,specimens,-98.209724,35.941666,"CNHM UR 835-843, 905, 910, 912, 913, 915, 918, 919, 923, 937, 972, 983, 984, 988","KF-1, Omega Quarry (Chickasha Formation)",,Chickasha Tongue; Flowerpot Shale; Flowerpot Formation,US,Oklahoma,Kingfisher,small collection,-24.87,7.9,101,Chickasha,El Reno,,"""channel""",body,terrestrial
289333,occ,27573,Angelosaurus romeri,species,120923,Roadian,Wordian,272.3,265.1,Chordata,Osteichthyes,Cotylosauria,Caseidae,Angelosaurus,33,specimens,-98.209724,35.941666,"CNHM UR 824 (type), 844-851, 853, 854, 904, 906-909, 911, 914, 916, 917, 926-928, 932, 933, 940, 941, 944, 971, 977-980 (specimens 904 to 980 are newer findings listed in Olson, 1965)","KF-1, Omega Quarry (Chickasha Formation)",,Chickasha Tongue; Flowerpot Shale; Flowerpot Formation,US,Oklahoma,Kingfisher,small collection,-24.87,7.9,101,Chickasha,El Reno,,"""channel""",body,terrestrial
290382,occ,27704,Waggoneria knoxensis,species,120859,Kungurian,,279.3,272.3,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,Waggoneriidae,Waggoneria,1,individuals,-99.557777,33.731667,"CNHM UR 14 (type), 15",Locality KF (Middle Vale Formation),,"three-channel hill, ""fish quarry""",US,Texas,Knox,small collection,-29.19,1.89,101,Vale,Clear Fork,,"""channel""","body,concretion","brackish,freshwater,terrestrial"
290383,occ,27704,Captorhinoides valensis,species,120860,Kungurian,,279.3,272.3,Chordata,Reptilia,NO_ORDER_SPECIFIED,Captorhinidae,Captorhinoides,1,individuals,-99.557777,33.731667,CNHM UR 13 (type),Locality KF (Middle Vale Formation),,"three-channel hill, ""fish quarry""",US,Texas,Knox,small collection,-29.19,1.89,101,Vale,Clear Fork,,"""channel""","body,concretion",terrestrial
293508,occ,27931,Ulemosaurus svijagensis,species,139388,Urzhumian,Early Severodvinian,268,252.3,Chordata,Osteichthyes,Cotylosauria,Ulemosauridae,Ulemosaurus,1,individuals,48.531387,55.148609,"PIN 2207/2, skull","Kamenny Ravine (Ulema River), Isheevo, PIN 157, 2207",,"Kamennyi, Kamenny Valley, Yumrala Ravine, Sviaga River, Sviyaga River, Isheevo, Tartarstan, Kamenny Ovrag",RU,Tatarstan,Apastovo,outcrop,51.68,34.35,302,,,,fluvial indet.,body,terrestrial
293509,occ,27931,Ulemica invisa,species,361897,Urzhumian,Early Severodvinian,268,252.3,Chordata,Osteichthyes,Cotylosauria,NO_FAMILY_SPECIFIED,Ulemica,,,48.531387,55.148609,,"Kamenny Ravine (Ulema River), Isheevo, PIN 157, 2207",,"Kamennyi, Kamenny Valley, Yumrala Ravine, Sviaga River, Sviyaga River, Isheevo, Tartarstan, Kamenny Ovrag",RU,Tatarstan,Apastovo,outcrop,51.68,34.35,302,,,,fluvial indet.,body,terrestrial
293591,occ,27952,Elph borealis,species,159717,Late Severodvinian,Vyatkian,265,252.3,Chordata,Osteichthyes,Dicynodontia,Dicynodontidae,Elph,2,individuals,46.634998,61.191113,"PIN 2353/37 (type), 2356/60","Zavrazhye locality, PIN 2353, 2356",,"Zavrazhe, Zavrazh'e, Zaovrazh'e; Northern Dvina; Little Northern Dvina; Malaya Severnaya Dvina; Kotlas",RU,Arkhangelsk,Kotlas,small collection,46.9,39.66,302,Salarevo,,,terrestrial indet.,body,terrestrial
294213,occ,28065,Elph borealis,species,159717,Late Severodvinian,Vyatkian,265,252.3,Chordata,Osteichthyes,Dicynodontia,Dicynodontidae,Elph,2,specimens,46.634998,61.191113,"PIN 2005/8, 2005/2643","Sokolki locality, PIN 2005",,Northern Dvina; Little Northern Dvina; Malaya Severnaya Dvina; Kotlas,RU,Arkhangelsk,Kotlas,outcrop,46.9,39.66,302,Salarevo,,,terrestrial indet.,body,terrestrial
294218,occ,28067,Embolomeri,suborder,37178,Wolfcamp,,296.4,268,Chordata,Osteichthyes,NO_ORDER_SPECIFIED,,,1,individuals,-106.783333,35.716667,,"UCMP 39179, Jemez Canyon (Abo Formation)",,"Harvard locality, Canyon de San Diego",US,New Mexico,Sandoval,small collection,-34.43,4.24,101,Abo/Cutler,,,fluvial indet.,body,"brackish,freshwater,terrestrial"
